dataset,simulator,sim_part,computing,cpu_time,elapsed_time,max_memory
DRR058060,pIRS,simulation,threaded,114,7,58
DRR058060,NEAT,training,single,5197,4955,333
DRR058060,NEAT,simulation,single,2916,2918,173
DRR058060,NEAT,simulation,multi,1552,1238,5882
DRR058060,BEAR,training,single,3625,1835,345
DRR058060,BEAR,simulation,single,41740,23257,915
PRJNA562949,ReSeq,training,threaded,176854,5276,46747
PRJNA562949,ReSeq,training,mixed,123311,121615,5831
PRJNA562949,ReSeq,simulation,threaded,34127,791,1815
PRJNA562949,ART,training,threaded,15052,6634,12
PRJNA562949,ART,simulation,single,6215,6238,67
PRJNA562949,ART,simulation,multi,31826,702,3153
PRJNA562949,pIRS,training,single,208395,195294,918
PRJNA562949,pIRS,simulation,threaded,3067,204,78
PRJNA562949,NEAT,training,single,104156,96299,411
PRJNA562949,NEAT,simulation,single,83478,83518,329
PRJNA562949,NEAT,simulation,multi,38990,5004,9970
PRJNA562949,BEAR,training,single,132493,70346,8050
PRJNA562949,BEAR,simulation,single,1271285,686591,30859
