Fit, RefSeqBin, InsertLength, Counts, Sites, FunctionCalls, LogLikelihood, DispersionA, DispersionB, RawGCbias0, GCbias0, GCcount0, GCsites0, RawGCbias1, GCbias1, GCcount1, GCsites1, RawGCbias2, GCbias2, GCcount2, GCsites2, RawGCbias3, GCbias3, GCcount3, GCsites3, RawGCbias4, GCbias4, GCcount4, GCsites4, RawGCbias5, GCbias5, GCcount5, GCsites5, RawGCbias6, GCbias6, GCcount6, GCsites6, RawGCbias7, GCbias7, GCcount7, GCsites7, RawGCbias8, GCbias8, GCcount8, GCsites8, RawGCbias9, GCbias9, GCcount9, GCsites9, RawGCbias10, GCbias10, GCcount10, GCsites10, RawGCbias11, GCbias11, GCcount11, GCsites11, RawGCbias12, GCbias12, GCcount12, GCsites12, RawGCbias13, GCbias13, GCcount13, GCsites13, RawGCbias14, GCbias14, GCcount14, GCsites14, RawGCbias15, GCbias15, GCcount15, GCsites15, RawGCbias16, GCbias16, GCcount16, GCsites16, RawGCbias17, GCbias17, GCcount17, GCsites17, RawGCbias18, GCbias18, GCcount18, GCsites18, RawGCbias19, GCbias19, GCcount19, GCsites19, RawGCbias20, GCbias20, GCcount20, GCsites20, RawGCbias21, GCbias21, GCcount21, GCsites21, RawGCbias22, GCbias22, GCcount22, GCsites22, RawGCbias23, GCbias23, GCcount23, GCsites23, RawGCbias24, GCbias24, GCcount24, GCsites24, RawGCbias25, GCbias25, GCcount25, GCsites25, RawGCbias26, GCbias26, GCcount26, GCsites26, RawGCbias27, GCbias27, GCcount27, GCsites27, RawGCbias28, GCbias28, GCcount28, GCsites28, RawGCbias29, GCbias29, GCcount29, GCsites29, RawGCbias30, GCbias30, GCcount30, GCsites30, RawGCbias31, GCbias31, GCcount31, GCsites31, RawGCbias32, GCbias32, GCcount32, GCsites32, RawGCbias33, GCbias33, GCcount33, GCsites33, RawGCbias34, GCbias34, GCcount34, GCsites34, RawGCbias35, GCbias35, GCcount35, GCsites35, RawGCbias36, GCbias36, GCcount36, GCsites36, RawGCbias37, GCbias37, GCcount37, GCsites37, RawGCbias38, GCbias38, GCcount38, GCsites38, RawGCbias39, GCbias39, GCcount39, GCsites39, RawGCbias40, GCbias40, GCcount40, GCsites40, RawGCbias41, GCbias41, GCcount41, GCsites41, RawGCbias42, GCbias42, GCcount42, GCsites42, RawGCbias43, GCbias43, GCcount43, GCsites43, RawGCbias44, GCbias44, GCcount44, GCsites44, RawGCbias45, GCbias45, GCcount45, GCsites45, RawGCbias46, GCbias46, GCcount46, GCsites46, RawGCbias47, GCbias47, GCcount47, GCsites47, RawGCbias48, GCbias48, GCcount48, GCsites48, RawGCbias49, GCbias49, GCcount49, GCsites49, RawGCbias50, GCbias50, GCcount50, GCsites50, RawGCbias51, GCbias51, GCcount51, GCsites51, RawGCbias52, GCbias52, GCcount52, GCsites52, RawGCbias53, GCbias53, GCcount53, GCsites53, RawGCbias54, GCbias54, GCcount54, GCsites54, RawGCbias55, GCbias55, GCcount55, GCsites55, RawGCbias56, GCbias56, GCcount56, GCsites56, RawGCbias57, GCbias57, GCcount57, GCsites57, RawGCbias58, GCbias58, GCcount58, GCsites58, RawGCbias59, GCbias59, GCcount59, GCsites59, RawGCbias60, GCbias60, GCcount60, GCsites60, RawGCbias61, GCbias61, GCcount61, GCsites61, RawGCbias62, GCbias62, GCcount62, GCsites62, RawGCbias63, GCbias63, GCcount63, GCsites63, RawGCbias64, GCbias64, GCcount64, GCsites64, RawGCbias65, GCbias65, GCcount65, GCsites65, RawGCbias66, GCbias66, GCcount66, GCsites66, RawGCbias67, GCbias67, GCcount67, GCsites67, RawGCbias68, GCbias68, GCcount68, GCsites68, RawGCbias69, GCbias69, GCcount69, GCsites69, RawGCbias70, GCbias70, GCcount70, GCsites70, RawGCbias71, GCbias71, GCcount71, GCsites71, RawGCbias72, GCbias72, GCcount72, GCsites72, RawGCbias73, GCbias73, GCcount73, GCsites73, RawGCbias74, GCbias74, GCcount74, GCsites74, RawGCbias75, GCbias75, GCcount75, GCsites75, RawGCbias76, GCbias76, GCcount76, GCsites76, RawGCbias77, GCbias77, GCcount77, GCsites77, RawGCbias78, GCbias78, GCcount78, GCsites78, RawGCbias79, GCbias79, GCcount79, GCsites79, RawGCbias80, GCbias80, GCcount80, GCsites80, RawGCbias81, GCbias81, GCcount81, GCsites81, RawGCbias82, GCbias82, GCcount82, GCsites82, RawGCbias83, GCbias83, GCcount83, GCsites83, RawGCbias84, GCbias84, GCcount84, GCsites84, RawGCbias85, GCbias85, GCcount85, GCsites85, RawGCbias86, GCbias86, GCcount86, GCsites86, RawGCbias87, GCbias87, GCcount87, GCsites87, RawGCbias88, GCbias88, GCcount88, GCsites88, RawGCbias89, GCbias89, GCcount89, GCsites89, RawGCbias90, GCbias90, GCcount90, GCsites90, RawGCbias91, GCbias91, GCcount91, GCsites91, RawGCbias92, GCbias92, GCcount92, GCsites92, RawGCbias93, GCbias93, GCcount93, GCsites93, RawGCbias94, GCbias94, GCcount94, GCsites94, RawGCbias95, GCbias95, GCcount95, GCsites95, RawGCbias96, GCbias96, GCcount96, GCsites96, RawGCbias97, GCbias97, GCcount97, GCsites97, RawGCbias98, GCbias98, GCcount98, GCsites98, RawGCbias99, GCbias99, GCcount99, GCsites99, RawGCbias100, GCbias100, GCcount100, GCsites100, GCknot0, GCknot1, GCknot2, GCknot3, GCknot4, GCknot5, SurBias0A, SurCount0A, SurSites0A, SurBias0C, SurCount0C, SurSites0C, SurBias0G, SurCount0G, SurSites0G, SurBias0T, SurCount0T, SurSites0T, SurBias1A, SurCount1A, SurSites1A, SurBias1C, SurCount1C, SurSites1C, SurBias1G, SurCount1G, SurSites1G, SurBias1T, SurCount1T, SurSites1T, SurBias2A, SurCount2A, SurSites2A, SurBias2C, SurCount2C, SurSites2C, SurBias2G, SurCount2G, SurSites2G, SurBias2T, SurCount2T, SurSites2T, SurBias3A, SurCount3A, SurSites3A, SurBias3C, SurCount3C, SurSites3C, SurBias3G, SurCount3G, SurSites3G, SurBias3T, SurCount3T, SurSites3T, SurBias4A, SurCount4A, SurSites4A, SurBias4C, SurCount4C, SurSites4C, SurBias4G, SurCount4G, SurSites4G, SurBias4T, SurCount4T, SurSites4T, SurBias5A, SurCount5A, SurSites5A, SurBias5C, SurCount5C, SurSites5C, SurBias5G, SurCount5G, SurSites5G, SurBias5T, SurCount5T, SurSites5T, SurBias6A, SurCount6A, SurSites6A, SurBias6C, SurCount6C, SurSites6C, SurBias6G, SurCount6G, SurSites6G, SurBias6T, SurCount6T, SurSites6T, SurBias7A, SurCount7A, SurSites7A, SurBias7C, SurCount7C, SurSites7C, SurBias7G, SurCount7G, SurSites7G, SurBias7T, SurCount7T, SurSites7T, SurBias8A, SurCount8A, SurSites8A, SurBias8C, SurCount8C, SurSites8C, SurBias8G, SurCount8G, SurSites8G, SurBias8T, SurCount8T, SurSites8T, SurBias9A, SurCount9A, SurSites9A, SurBias9C, SurCount9C, SurSites9C, SurBias9G, SurCount9G, SurSites9G, SurBias9T, SurCount9T, SurSites9T, SurBias10A, SurCount10A, SurSites10A, SurBias10C, SurCount10C, SurSites10C, SurBias10G, SurCount10G, SurSites10G, SurBias10T, SurCount10T, SurSites10T, SurBias11A, SurCount11A, SurSites11A, SurBias11C, SurCount11C, SurSites11C, SurBias11G, SurCount11G, SurSites11G, SurBias11T, SurCount11T, SurSites11T, SurBias12A, SurCount12A, SurSites12A, SurBias12C, SurCount12C, SurSites12C, SurBias12G, SurCount12G, SurSites12G, SurBias12T, SurCount12T, SurSites12T, SurBias13A, SurCount13A, SurSites13A, SurBias13C, SurCount13C, SurSites13C, SurBias13G, SurCount13G, SurSites13G, SurBias13T, SurCount13T, SurSites13T, SurBias14A, SurCount14A, SurSites14A, SurBias14C, SurCount14C, SurSites14C, SurBias14G, SurCount14G, SurSites14G, SurBias14T, SurCount14T, SurSites14T, SurBias15A, SurCount15A, SurSites15A, SurBias15C, SurCount15C, SurSites15C, SurBias15G, SurCount15G, SurSites15G, SurBias15T, SurCount15T, SurSites15T, SurBias16A, SurCount16A, SurSites16A, SurBias16C, SurCount16C, SurSites16C, SurBias16G, SurCount16G, SurSites16G, SurBias16T, SurCount16T, SurSites16T, SurBias17A, SurCount17A, SurSites17A, SurBias17C, SurCount17C, SurSites17C, SurBias17G, SurCount17G, SurSites17G, SurBias17T, SurCount17T, SurSites17T, SurBias18A, SurCount18A, SurSites18A, SurBias18C, SurCount18C, SurSites18C, SurBias18G, SurCount18G, SurSites18G, SurBias18T, SurCount18T, SurSites18T, SurBias19A, SurCount19A, SurSites19A, SurBias19C, SurCount19C, SurSites19C, SurBias19G, SurCount19G, SurSites19G, SurBias19T, SurCount19T, SurSites19T, SurBias20A, SurCount20A, SurSites20A, SurBias20C, SurCount20C, SurSites20C, SurBias20G, SurCount20G, SurSites20G, SurBias20T, SurCount20T, SurSites20T, SurBias21A, SurCount21A, SurSites21A, SurBias21C, SurCount21C, SurSites21C, SurBias21G, SurCount21G, SurSites21G, SurBias21T, SurCount21T, SurSites21T, SurBias22A, SurCount22A, SurSites22A, SurBias22C, SurCount22C, SurSites22C, SurBias22G, SurCount22G, SurSites22G, SurBias22T, SurCount22T, SurSites22T, SurBias23A, SurCount23A, SurSites23A, SurBias23C, SurCount23C, SurSites23C, SurBias23G, SurCount23G, SurSites23G, SurBias23T, SurCount23T, SurSites23T, SurBias24A, SurCount24A, SurSites24A, SurBias24C, SurCount24C, SurSites24C, SurBias24G, SurCount24G, SurSites24G, SurBias24T, SurCount24T, SurSites24T, SurBias25A, SurCount25A, SurSites25A, SurBias25C, SurCount25C, SurSites25C, SurBias25G, SurCount25G, SurSites25G, SurBias25T, SurCount25T, SurSites25T, SurBias26A, SurCount26A, SurSites26A, SurBias26C, SurCount26C, SurSites26C, SurBias26G, SurCount26G, SurSites26G, SurBias26T, SurCount26T, SurSites26T, SurBias27A, SurCount27A, SurSites27A, SurBias27C, SurCount27C, SurSites27C, SurBias27G, SurCount27G, SurSites27G, SurBias27T, SurCount27T, SurSites27T, SurBias28A, SurCount28A, SurSites28A, SurBias28C, SurCount28C, SurSites28C, SurBias28G, SurCount28G, SurSites28G, SurBias28T, SurCount28T, SurSites28T, SurBias29A, SurCount29A, SurSites29A, SurBias29C, SurCount29C, SurSites29C, SurBias29G, SurCount29G, SurSites29G, SurBias29T, SurCount29T, SurSites29T
poisson, 0, 148, 115050, 6254606, 40, -415080, 0, 1e-100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 40, 15.1291, 0.150441, 1, 42, 1107.59, 11.0137, 2, 12, 0, 0, 0, 42, 316.929, 3.15148, 2, 24, 38.1898, 0.379752, 1, 44, 154.293, 1.53426, 5, 58, 91.7074, 0.91192, 5, 152, 119.417, 1.18746, 10, 110, 103.177, 1.02597, 6, 144, 27.0472, 0.268952, 1, 100, 8.2001, 0.0815402, 1, 318, 41.9627, 0.417269, 5, 234, 21.1561, 0.210372, 4, 282, 38.7549, 0.385371, 19, 1034, 73.2925, 0.728806, 26, 644, 73.9682, 0.735526, 55, 1884, 133.31, 1.32561, 88, 1490, 80.545, 0.800923, 148, 4388, 79.9774, 0.79528, 97, 2978, 74.6296, 0.742103, 222, 6662, 90.1293, 0.896228, 126, 3498, 77.3478, 0.769132, 184, 7108, 76.1511, 0.757231, 113, 4310, 86.2776, 0.857928, 277, 9256, 85.0008, 0.845231, 160, 5702, 103.492, 1.0291, 387, 11392, 84.5972, 0.841218, 141, 6036, 109.684, 1.09068, 530, 15742, 92.9587, 0.924363, 287, 10140, 100.35, 0.997859, 724, 25368, 90.3929, 0.898849, 415, 15998, 112.629, 1.11996, 1224, 41562, 110.624, 1.10002, 773, 28710, 102.167, 1.01593, 2054, 81948, 109.295, 1.0868, 1481, 58430, 109.477, 1.08862, 4087, 162748, 107.576, 1.06972, 2646, 109950, 110.075, 1.09456, 3158, 134002, 109.455, 1.0884, 7808, 343828, 108.366, 1.07757, 4780, 216372, 106.167, 1.05571, 10756, 516114, 107.138, 1.06536, 6019, 296126, 105.827, 1.05232, 12398, 640746, 104.705, 1.04117, 6317, 335760, 103.048, 1.02469, 12131, 673672, 96.6225, 0.960796, 5237, 322680, 99.1079, 0.98551, 9716, 594258, 92.9868, 0.924643, 3852, 265168, 92.9782, 0.924557, 6425, 454026, 89.7509, 0.892466, 2442, 182298, 91.1928, 0.906803, 3629, 277400, 82.6568, 0.821923, 1137, 100862, 88.2104, 0.877147, 1608, 139260, 83.6287, 0.831587, 461, 43936, 81.6502, 0.811914, 547, 55046, 65.2913, 0.649244, 122, 15180, 57.4698, 0.571468, 125, 17430, 69.2099, 0.688209, 36, 4214, 44.6794, 0.444283, 29, 4924, 41.0318, 0.408012, 6, 1298, 27.5138, 0.273592, 2, 1016, 71.7658, 0.713625, 1, 170, 245.856, 2.44475, 1, 104, 0, 0, 0, 70, 0, 0, 0, 40, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 65, 68, 70, 74, 88, -3.5153, 37197, 1938402, -3.52637, 78560, 4313930, -3.55283, 75509, 4318200, -3.5026, 38834, 1938680, 0.0284774, 35316, 1938522, -0.0289547, 78962, 4313460, -0.0326732, 79142, 4318600, 0.0331505, 36680, 1938630, 0.0250934, 38751, 1938920, -0.0305718, 74727, 4312752, -0.0127364, 77692, 4319164, 0.0182147, 38930, 1938376, -0.0735356, 34762, 1939188, -0.000468219, 78709, 4312946, 0.00173733, 74709, 4319050, 0.0722665, 41920, 1938028, -0.235436, 26871, 1939262, 0.13444, 90057, 4313094, -0.0474177, 77973, 4319434, 0.148414, 35199, 1937422, 0.120065, 37186, 1940032, -0.16413, 61166, 4311912, 0.444798, 106470, 4320584, -0.400733, 25278, 1936684, 0.0233639, 39194, 1940430, 0.318278, 96028, 4313444, -0.0644146, 68047, 4318930, -0.277227, 26831, 1936408, 0.352298, 43282, 1940736, -0.319228, 62741, 4312212, 0.0168427, 88156, 4319382, -0.0499127, 35921, 1936882, -0.205555, 33549, 1940574, 0.740102, 123627, 4314992, -0.475162, 42375, 4316828, -0.0593843, 30549, 1936818, 0.546662, 51355, 1940940, -0.738886, 45303, 4311202, -0.0779486, 85858, 4318924, 0.270173, 47584, 1938146, -0.0488175, 31380, 1940006, 0.0177969, 65208, 4312872, 0.622217, 113353, 4318760, -0.591196, 20159, 1937574, -0.218087, 32559, 1939698, -0.063745, 75010, 4314232, -0.466665, 57117, 4315632, 0.748497, 65414, 1939650, -0.0114758, 34213, 1939526, 0.156262, 90266, 4314784, -0.459321, 53460, 4314930, 0.314534, 52161, 1939972, -0.392389, 24585, 1939070, 0.382332, 107049, 4315720, -0.636398, 45866, 4314290, 0.646456, 52600, 1940132, 0.59604, 58077, 1940788, -0.602444, 56910, 4313454, -0.562368, 59310, 4315230, 0.568773, 55803, 1939740, 0.59755, 55675, 1941262, -0.651464, 44234, 4312732, 0.367659, 100040, 4317032, -0.313745, 30151, 1938186, 0.3059, 46514, 1941126, -0.428555, 58571, 4313784, 0.171513, 93576, 4316338, -0.0488582, 31439, 1937964, 0.565505, 58824, 1940936, -0.326449, 62250, 4314508, -0.0115614, 78089, 4315922, -0.227495, 30937, 1937846, -0.442927, 24661, 1939686, 0.514428, 105632, 4316560, -0.000124433, 64899, 4315230, -0.0713765, 34908, 1937736, 0.0365642, 35981, 1940068, 0.0473675, 93186, 4316150, -0.43445, 58813, 4314886, 0.350518, 42120, 1938108, -0.0422559, 34462, 1939986, -0.318317, 51953, 4314568, 0.483183, 108547, 4317136, -0.12261, 35138, 1937522, -0.0588525, 37676, 1940096, -0.0120014, 80131, 4315864, -0.179299, 66624, 4315336, 0.250153, 45669, 1937916, -0.262123, 25573, 1939352, 0.0245825, 77460, 4315992, 0.192973, 90341, 4316044, 0.0445668, 36726, 1937824, -0.347829, 27312, 1939696, 0.391078, 99089, 4317166, -0.093179, 67874, 4314864, 0.0499299, 35825, 1937486, 0.031341, 35819, 1940274, 0.0483626, 80703, 4316066, 0.0938402, 81864, 4315430, -0.173544, 31714, 1937442, 0.0553969, 36979, 1940532, -0.010932, 78554, 4316152, 0.0255052, 82054, 4315106, -0.0699701, 32513, 1937422, 0.00390132, 39679, 1940608, -0.00841079, 75978, 4316474, -0.0167384, 76655, 4314488, 0.0212479, 37788, 1937642, 0.0347516, 39524, 1940610, -0.0341187, 76592, 4316722, -0.028652, 74889, 4314226, 0.0280191, 39095, 1937654, 0.0114475, 34742, 1940538, -0.0260473, 79309, 4316822, 0.00625446, 81354, 4314058, 0.00834536, 34695, 1937794, -0.00532917, 38756, 1940364, 0.00533843, 76633, 4317210, 0.00291039, 77842, 4313814, -0.00291965, 36869, 1937824
gcspline, 0, 148, 115050, 6254606, 27, -415157, 0, 1e-100, 48.1937, 0.47842, 0, 0, 48.1937, 0.47842, 0, 0, 48.1937, 0.47842, 0, 0, 48.1937, 0.47842, 0, 0, 48.1937, 0.47842, 0, 0, 48.1937, 0.47842, 0, 0, 48.1937, 0.47842, 0, 0, 48.1937, 0.47842, 0, 0, 48.1937, 0.47842, 0, 0, 48.1937, 0.47842, 0, 0, 48.1937, 0.47842, 0, 0, 48.1937, 0.47842, 0, 0, 48.1937, 0.47842, 0, 0, 48.1937, 0.47842, 0, 0, 48.1937, 0.47842, 0, 0, 48.1937, 0.47842, 0, 0, 48.1937, 0.47842, 0, 0, 48.1937, 0.47842, 0, 0, 48.1937, 0.47842, 0, 0, 48.1937, 0.47842, 0, 0, 48.1937, 0.47842, 0, 0, 48.1937, 0.47842, 0, 0, 48.1937, 0.47842, 0, 0, 48.1937, 0.47842, 0, 0, 48.1937, 0.47842, 0, 14, 48.1937, 0.47842, 0, 40, 48.8594, 0.485028, 1, 42, 50.2184, 0.498519, 2, 12, 51.6145, 0.512379, 0, 42, 53.0483, 0.526612, 2, 24, 54.52, 0.541222, 1, 44, 56.0299, 0.556211, 5, 58, 57.5783, 0.571582, 5, 152, 59.1654, 0.587337, 10, 110, 60.7913, 0.603477, 6, 144, 62.4561, 0.620004, 1, 100, 64.1598, 0.636916, 1, 318, 65.9023, 0.654214, 5, 234, 67.6835, 0.671896, 4, 282, 69.5031, 0.68996, 19, 1034, 71.361, 0.708403, 26, 644, 73.2566, 0.72722, 55, 1884, 75.1894, 0.746408, 88, 1490, 77.159, 0.76596, 148, 4388, 79.1645, 0.785868, 97, 2978, 81.2052, 0.806127, 222, 6662, 83.2786, 0.826709, 126, 3498, 85.375, 0.84752, 184, 7108, 87.4823, 0.868439, 113, 4310, 89.5871, 0.889333, 277, 9256, 91.6749, 0.910059, 160, 5702, 93.7301, 0.930462, 387, 11392, 95.736, 0.950375, 141, 6036, 97.6749, 0.969622, 530, 15742, 99.5282, 0.988019, 287, 10140, 101.276, 1.00537, 724, 25368, 102.899, 1.02149, 415, 15998, 104.377, 1.03615, 1224, 41562, 105.688, 1.04917, 773, 28710, 106.813, 1.06034, 2054, 81948, 107.731, 1.06945, 1481, 58430, 108.422, 1.07631, 4087, 162748, 108.868, 1.08074, 2646, 109950, 109.053, 1.08257, 3158, 134002, 108.959, 1.08164, 7808, 343828, 108.575, 1.07783, 4780, 216372, 107.889, 1.07102, 10756, 516114, 106.893, 1.06113, 6019, 296126, 105.582, 1.04812, 12398, 640746, 103.955, 1.03197, 6317, 335760, 102.014, 1.0127, 12131, 673672, 99.7912, 0.99063, 5237, 322680, 97.4282, 0.967173, 9716, 594258, 95.0814, 0.943876, 3852, 265168, 92.8932, 0.922154, 6425, 454026, 90.9931, 0.903291, 2442, 182298, 89.501, 0.888479, 3629, 277400, 88.3332, 0.876887, 1137, 100862, 86.6309, 0.859987, 1608, 139260, 83.4204, 0.828117, 461, 43936, 78.1325, 0.775623, 547, 55046, 71.2363, 0.707165, 122, 15180, 63.4371, 0.629742, 125, 17430, 55.3627, 0.549588, 36, 4214, 47.5101, 0.471634, 29, 4924, 40.2263, 0.399328, 6, 1298, 33.7171, 0.334711, 2, 1016, 28.0717, 0.278668, 1, 170, 23.293, 0.23123, 1, 104, 21.212, 0.210572, 0, 70, 21.212, 0.210572, 0, 40, 21.212, 0.210572, 0, 12, 21.212, 0.210572, 0, 0, 21.212, 0.210572, 0, 0, 21.212, 0.210572, 0, 0, 21.212, 0.210572, 0, 0, 21.212, 0.210572, 0, 0, 21.212, 0.210572, 0, 0, 21.212, 0.210572, 0, 0, 21.212, 0.210572, 0, 0, 21.212, 0.210572, 0, 0, 26, 45, 70, 76, 79, 88, -3.5153, 37197, 1938402, -3.52637, 78560, 4313930, -3.55283, 75509, 4318200, -3.5026, 38834, 1938680, 0.0284774, 35316, 1938522, -0.0289547, 78962, 4313460, -0.0326732, 79142, 4318600, 0.0331505, 36680, 1938630, 0.0250934, 38751, 1938920, -0.0305718, 74727, 4312752, -0.0127364, 77692, 4319164, 0.0182147, 38930, 1938376, -0.0735356, 34762, 1939188, -0.000468219, 78709, 4312946, 0.00173733, 74709, 4319050, 0.0722665, 41920, 1938028, -0.235436, 26871, 1939262, 0.13444, 90057, 4313094, -0.0474177, 77973, 4319434, 0.148414, 35199, 1937422, 0.120065, 37186, 1940032, -0.16413, 61166, 4311912, 0.444798, 106470, 4320584, -0.400733, 25278, 1936684, 0.0233639, 39194, 1940430, 0.318278, 96028, 4313444, -0.0644146, 68047, 4318930, -0.277227, 26831, 1936408, 0.352298, 43282, 1940736, -0.319228, 62741, 4312212, 0.0168427, 88156, 4319382, -0.0499127, 35921, 1936882, -0.205555, 33549, 1940574, 0.740102, 123627, 4314992, -0.475162, 42375, 4316828, -0.0593843, 30549, 1936818, 0.546662, 51355, 1940940, -0.738886, 45303, 4311202, -0.0779486, 85858, 4318924, 0.270173, 47584, 1938146, -0.0488175, 31380, 1940006, 0.0177969, 65208, 4312872, 0.622217, 113353, 4318760, -0.591196, 20159, 1937574, -0.218087, 32559, 1939698, -0.063745, 75010, 4314232, -0.466665, 57117, 4315632, 0.748497, 65414, 1939650, -0.0114758, 34213, 1939526, 0.156262, 90266, 4314784, -0.459321, 53460, 4314930, 0.314534, 52161, 1939972, -0.392389, 24585, 1939070, 0.382332, 107049, 4315720, -0.636398, 45866, 4314290, 0.646456, 52600, 1940132, 0.59604, 58077, 1940788, -0.602444, 56910, 4313454, -0.562368, 59310, 4315230, 0.568773, 55803, 1939740, 0.59755, 55675, 1941262, -0.651464, 44234, 4312732, 0.367659, 100040, 4317032, -0.313745, 30151, 1938186, 0.3059, 46514, 1941126, -0.428555, 58571, 4313784, 0.171513, 93576, 4316338, -0.0488582, 31439, 1937964, 0.565505, 58824, 1940936, -0.326449, 62250, 4314508, -0.0115614, 78089, 4315922, -0.227495, 30937, 1937846, -0.442927, 24661, 1939686, 0.514428, 105632, 4316560, -0.000124433, 64899, 4315230, -0.0713765, 34908, 1937736, 0.0365642, 35981, 1940068, 0.0473675, 93186, 4316150, -0.43445, 58813, 4314886, 0.350518, 42120, 1938108, -0.0422559, 34462, 1939986, -0.318317, 51953, 4314568, 0.483183, 108547, 4317136, -0.12261, 35138, 1937522, -0.0588525, 37676, 1940096, -0.0120014, 80131, 4315864, -0.179299, 66624, 4315336, 0.250153, 45669, 1937916, -0.262123, 25573, 1939352, 0.0245825, 77460, 4315992, 0.192973, 90341, 4316044, 0.0445668, 36726, 1937824, -0.347829, 27312, 1939696, 0.391078, 99089, 4317166, -0.093179, 67874, 4314864, 0.0499299, 35825, 1937486, 0.031341, 35819, 1940274, 0.0483626, 80703, 4316066, 0.0938402, 81864, 4315430, -0.173544, 31714, 1937442, 0.0553969, 36979, 1940532, -0.010932, 78554, 4316152, 0.0255052, 82054, 4315106, -0.0699701, 32513, 1937422, 0.00390132, 39679, 1940608, -0.00841079, 75978, 4316474, -0.0167384, 76655, 4314488, 0.0212479, 37788, 1937642, 0.0347516, 39524, 1940610, -0.0341187, 76592, 4316722, -0.028652, 74889, 4314226, 0.0280191, 39095, 1937654, 0.0114475, 34742, 1940538, -0.0260473, 79309, 4316822, 0.00625446, 81354, 4314058, 0.00834536, 34695, 1937794, -0.00532917, 38756, 1940364, 0.00533843, 76633, 4317210, 0.00291039, 77842, 4313814, -0.00291965, 36869, 1937824
